states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Connecticut,New Britain,"73,458",431.5,4.1,6.8,243.7,177.0,777.3285714285714,521.5048780487805,798.0586206896552,535.0
New York,New Rochelle,"78,025",232.0,5.49954128440367,3.8,116.6,111.5,777.3285714285714,230.7,798.0586206896552,83.3
California,Newport Beach,"87,286",115.7,1.1,12.6,30.9,71.0,777.3285714285714,509.8,798.0586206896552,108.8
Massachusetts,Newton,"86,710",87.6,5.49954128440367,5.8,19.6,62.3,777.3285714285714,213.4,799.2,18.5
New Jersey,North Bergen Township,"61,747",144.1,3.2,11.3,58.3,71.3,777.3285714285714,200.8,803.3,179.8
Arkansas,North Little Rock,"63,125",711.3,12.7,14.3,280.4,404.0,777.3285714285714,521.5048780487805,798.0586206896552,590.9
Florida,North Miami,"60,964",854.6,4.9,34.4,351.0,464.2,777.3285714285714,521.5048780487805,798.0586206896552,490.5
Texas,North Richland Hills,"65,750",258.6,1.5,27.4,35.0,194.7,777.3285714285714,457.8,798.0586206896552,115.6
Pennsylvania,Northern York Regional,"66,974",98.5,3.0,4.5,20.9,70.2,777.3285714285714,150.8,798.0586206896552,62.7
Connecticut,Norwalk,"86,693",313.8,3.5,10.4,78.4,221.5,777.3285714285714,288.4,798.0586206896552,128.0
Missouri,O'Fallon,"80,670",91.7,2.5,6.2,5.0,78.1,777.3285714285714,155.0,798.0586206896552,26.0
Utah,Ogden,"85,083",414.9,2.4,29.4,112.8,270.3,777.3285714285714,862.7,798.0586206896552,253.9
New Jersey,Old Bridge Township,"66,057",84.8,3.0,3.0,22.7,56.0,777.3285714285714,216.5,798.0586206896552,89.3
Utah,Orem,"91,953",44.6,2.2,12.0,22.8,7.6,777.3285714285714,220.8,798.0586206896552,84.8
Wisconsin,Oshkosh,"66,514",287.2,5.49954128440367,19.5,27.1,240.6,777.3285714285714,511.2,798.0586206896552,55.6
Illinois,Palatine,"68,890",42.1,1.5,8.7,11.6,20.3,777.3285714285714,47.9,798.0586206896552,30.5
California,Palo Alto,"66,019",80.3,5.49954128440367,6.1,39.4,34.8,777.3285714285714,495.3,798.0586206896552,72.7
